certification_required_modules,id,uuid,uuid,false,true
certification_required_modules,module_id,uuid,uuid,false,false
certification_required_modules,created_at,timestamp with time zone,timestamptz,true,false
certification_settings,id,uuid,uuid,false,true
certification_settings,title,text,text,false,false
certification_settings,description,text,text,true,false
certification_settings,price_cents,integer,int4,false,false
certification_settings,badge_image_url,text,text,true,false
certification_settings,requires_review,boolean,bool,true,false
certification_settings,is_active,boolean,bool,true,false
certification_settings,created_at,timestamp with time zone,timestamptz,true,false
certification_settings,updated_at,timestamp with time zone,timestamptz,true,false
collection_access,id,uuid,uuid,false,true
collection_access,collection_id,uuid,uuid,false,false
collection_access,user_id,uuid,uuid,false,false
collection_access,granted_at,timestamp with time zone,timestamptz,true,false
collection_access,expires_at,timestamp with time zone,timestamptz,true,false
collection_access,source,text,text,true,false
collection_access,source_id,text,text,true,false
collection_access,notes,text,text,true,false
collection_access,created_at,timestamp with time zone,timestamptz,true,false
collection_videos,id,uuid,uuid,false,true
collection_videos,collection_id,uuid,uuid,false,false
collection_videos,video_id,uuid,uuid,false,false
collection_videos,sort_order,integer,int4,true,false
collection_videos,custom_title,text,text,true,false
collection_videos,custom_description,text,text,true,false
collection_videos,created_at,timestamp with time zone,timestamptz,true,false
collections,id,uuid,uuid,false,true
collections,title,text,text,false,false
collections,description,text,text,true,false
collections,thumbnail_url,text,text,true,false
collections,collection_type,text,text,true,false
collections,event_date,timestamp with time zone,timestamptz,true,false
collections,event_location,text,text,true,false
collections,is_published,boolean,bool,true,false
collections,access_starts_at,timestamp with time zone,timestamptz,true,false
collections,access_ends_at,timestamp with time zone,timestamptz,true,false
collections,sort_order,integer,int4,true,false
collections,created_at,timestamp with time zone,timestamptz,true,false
